rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1575,1900,Fashion & Retail,Guo Zhenyu & family,59.0,China,Cosmetics,Fashion,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1575,1900,Manufacturing,Surjit Kumar Gupta,81.0,India,Electrical equipment,Manufacturing,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1575,1900,Diversified,Caroline Hagen Kjos,39.0,Switzerland,Conglomerate,Diversified,False,F,59.6,83.6,"$703,082,435,360 ",8574832.0
1575,1900,Finance & Investments,Roberto Hernandez Ramirez,81.0,Mexico,"Banking, investments",Finance,True,M,40.2,75.0,"$1,258,286,717,125 ",126014024.0
1575,1900,Technology,Reid Hoffman,55.0,United States,LinkedIn,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Manufacturing,Hu Rongda & family,64.0,China,Chemicals,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1575,1900,Real Estate,"B. Wayne Hughes, Jr.",63.0,United States,Storage facilities,Real Estate,False,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Finance & Investments,Scott Kapnick,64.0,United States,Private equity,Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Finance & Investments,Richard Kayne,77.0,United States,Investments,Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Finance & Investments,Dominika Kulczyk,45.0,United Kingdom,Diversified,Finance,False,F,60.0,81.3,"$2,827,113,184,696 ",66834405.0
