rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1368,2200,Logistics,Huijiao Yu,57.0,China,Package delivery,Logistics,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1368,2200,Finance & Investments,Oren Zeev,58.0,United States,Investments,Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1368,2200,Manufacturing,Clayton Zekelman,54.0,Canada,Steel,Manufacturing,False,M,68.9,81.9,"$1,736,425,629,520 ",36991981.0
1368,2200,Energy,Zhao Fenggang,57.0,China,Batteries,Energy,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Metals & Mining,Alex Beard,55.0,United Kingdom,"Mining, commodities",Mining,True,M,60.0,81.3,"$2,827,113,184,696 ",66834405.0
1434,2100,Food & Beverage,Travis Boersma,52.0,United States,Coffee,Food,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Gambling & Casinos,William Boyd & family,91.0,United States,"Casinos, banking",Gambling,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Food & Beverage,Anand Burman,70.0,India,Consumer goods,Food,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Manufacturing,Cao Ji,71.0,China,Manufacturing,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Technology,Chi Yufeng,52.0,China,Software,Technology,False,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Healthcare,Beda Diethelm,82.0,Switzerland,Hearing aids,Healthcare,True,M,59.6,83.6,"$703,082,435,360 ",8574832.0
1434,2100,Fashion & Retail,Domenico Dolce,64.0,Italy,Luxury goods,Fashion,True,M,61.9,82.9,"$2,001,244,392,042 ",60297396.0
1434,2100,Technology,Ralph Dommermuth,59.0,Germany,Internet service provider,Technology,True,M,70.2,80.9,"$3,845,630,030,824 ",83132799.0
1434,2100,Diversified,Georgi Domuschiev,50.0,United Kingdom,"Animal health, investments",Diversified,True,M,60.0,81.3,"$2,827,113,184,696 ",66834405.0
1434,2100,Diversified,Kiril Domuschiev,53.0,United Kingdom,"Animal health, investments",Diversified,True,M,60.0,81.3,"$2,827,113,184,696 ",66834405.0
1434,2100,Real Estate,Bob Ell,78.0,Australia,Real estate,Real Estate,True,M,113.1,82.7,"$1,392,680,589,329 ",25766605.0
1434,2100,Energy,Paul Foster,65.0,United States,Oil refining,Energy,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Fashion & Retail,Stefano Gabbana,60.0,Italy,Luxury goods,Fashion,True,M,61.9,82.9,"$2,001,244,392,042 ",60297396.0
1434,2100,Manufacturing,Xingjiang Gao,59.0,China,Steel,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Energy,Gordon Getty,89.0,United States,Getty Oil,Energy,False,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Energy,Kamal Ghaffarian,64.0,United States,"Space, energy",Energy,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Healthcare,Dennis Gillings,78.0,United States,Clinical trials,Healthcare,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Diversified,Harsh Goenka,65.0,India,Diversified,Diversified,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Diversified,Sanjiv Goenka,62.0,India,Diversified,Diversified,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Real Estate,Jane Goldman,67.0,United States,Real estate,Real Estate,False,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Fashion & Retail,Stein Erik Hagen,66.0,Norway,Consumer goods,Fashion,True,M,82.0,82.8,"$403,336,363,636 ",5347896.0
1434,2100,Real Estate,Bahaa Hariri,56.0,Switzerland,"Real estate, investments",Real Estate,False,M,59.6,83.6,"$703,082,435,360 ",8574832.0
1434,2100,Fashion & Retail,Hortensia Herrero,72.0,Spain,Supermarkets,Fashion,False,F,88.9,83.3,"$1,394,116,310,769 ",47076781.0
1434,2100,Manufacturing,Huang Min,49.0,China,Machinery,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Technology,Jared Isaacman,40.0,United States,Payment processing,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Technology,Eugene Kaspersky,57.0,Russian Federation,Software,Technology,True,M,81.9,72.7,"$1,699,876,578,871 ",144373535.0
1434,2100,Fashion & Retail,Artem Khachatryan,48.0,Cyprus,Retail,Fashion,True,M,75.9,80.8,"$24,564,647,935 ",1198575.0
1434,2100,Food & Beverage,Andrei Krivenko,47.0,Russian Federation,Retail,Food,True,M,81.9,72.7,"$1,699,876,578,871 ",144373535.0
